time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-121.732640814,159.85975313,15.8252845466,13.7332473803,9.10537847641,4.56847962244,0,20.0509683998
4.0,-109.127234754,142.463589678,15.7164637081,35.2166038868,7.53110410594,4.540387799,0,18.6072653929
5.75,-106.520735028,133.015794194,17.2238824812,45.1326006433,0.194472853368,4.92542805932,0,17.2258100903
6.0,-106.511067656,132.112139805,17.2231153655,46.036307068,0.229791718733,4.92523436034,0,17.2258067128
6.0,-106.511067656,132.112139805,17.2231153655,46.036307068,0.229791718733,4.92523436034,0,17.2258067128
