time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-121.335693436,161.341233586,15.8252845466,12.9411241074,9.10537847641,4.56847962244,0,20.0509683998
4.0,-109.47622136,147.584465057,17.2025297561,31.1562980747,4.95782721659,4.92003557862,0,18.4553356026
4.5,-107.818544979,145.536583172,17.8071219609,33.859489324,2.41090578281,5.07203599789,0,18.103374086
6.5,-102.355457231,139.228613276,17.4166667585,42.2134265523,3.47204360744,4.97403416856,0,18.0310952403
7.25,-101.010316726,136.292495059,17.8932310689,45.4779796156,0.67420324577,5.09356912077,0,17.9163987558
9.0,-98.2392776879,129.788967166,17.374972587,52.5662180618,3.2472133256,4.96353418401,0,17.9124034933
11.0,-93.0789861215,122.949881281,17.5689912672,61.1358941371,2.36303838786,5.01233714715,0,17.8535962836
11.25,-92.6684648173,122.236526177,17.7262291096,61.9738243159,1.42351370965,5.05178104675,0,17.8295110302
13.25,-90.6810327834,115.259340519,17.6032675308,69.2295892897,2.07835048514,5.02094370789,0,17.8234276093
15.25,-87.170513869,107.985911436,17.5821112966,77.3059103123,2.09731601691,5.0156320458,0,17.8063077531
17.25,-85.1159619169,100.033902649,17.6903856007,85.5197614672,1.37317280046,5.04279797693,0,17.7864917954
19.25,-83.6817131785,91.6119698184,17.5489082807,94.0641185451,2.13319837037,5.00729231071,0,17.7808417816
19.5,-83.3228929066,90.5741079873,17.687731508,95.1709975161,1.22251388126,5.04213261195,0,17.7639058296
21.5,-80.9812689281,82.1962369075,17.4554684651,103.873058928,2.35527205624,4.98379966559,0,17.7382057974
23.25,-79.9953621932,74.8728785426,17.627991461,111.264496813,1.24582768479,5.02714890189,0,17.7070988321
24.5,-79.3311419696,69.9006058659,17.66273035,116.281058471,0.899260772462,5.03586362963,0,17.7039469625
25.5,-79.0714595133,65.9161783397,17.6708665474,120.273947636,0.793515260569,5.03790402884,0,17.7029596396
25.75,-78.9999710257,64.9745135364,17.7023699309,121.218847456,0.0592288675298,5.04580203513,0,17.702548731
26.25,-78.8778624526,62.9963139403,17.6248737681,123.202326672,1.23449659804,5.02636655645,0,17.702548684
26.5,-78.732160971,61.9909329658,17.6911594605,124.220370688,0.422097350393,5.04299197375,0,17.7002403052
27.75,-78.1948621963,56.6325292504,17.4845866629,129.609605575,2.05547107454,4.99112420381,0,17.6999261807
29.75,-77.837706882,47.3913725754,17.5875301947,138.858234337,1.39016414109,5.01699272559,0,17.6860294984
30.0,-77.7268389432,46.3137390878,17.6663817287,139.944421797,0.56085453483,5.03677935582,0,17.6824142368
30.5,-77.7014651645,44.3973283684,17.6768558827,141.861029108,0.327609847575,5.03940587263,0,17.6823262299
30.75,-77.6784719745,43.476404493,17.6810797413,142.782249663,0.154737238679,5.04046493404,0,17.682300109
31.5,-77.4486391598,40.4341159796,17.5632144294,145.835483155,1.52853424346,5.01088616886,0,17.6822978612
32.0,-77.3917765751,38.3402033217,17.6767312452,147.933241396,0.0621991332169,5.03937462082,0,17.6769284283
32.5,-77.2813079474,36.3610595981,17.601555149,149.916890721,1.21606851233,5.02051384758,0,17.6769283715
33.5,-77.2027299611,32.1678080636,17.6557029948,154.111227965,0.620278472214,5.03410109936,0,17.6753128513
33.75,-77.1760556677,31.235004784,17.6750570137,155.044613231,0.0445907698021,5.03895481547,0,17.675158356
34.0,-77.1509766689,30.3071548068,17.6604410618,155.972917148,0.537357429674,5.03528947456,0,17.6751583405
35.75,-76.798313891,21.9809798597,17.2095219815,164.318747742,3.01488239453,4.92180161112,0,17.6728000576
37.75,-74.8864770782,4.12972985979,13.3716279481,182.677714956,9.1863483936,3.92389631926,0,17.6728000586
