time,x,y,z,d,V,Wv,E
0,-130,170,20,0,10,0,25.0968399592
1.0,-120.170617283,165.416483564,15.5386785201,11.7272663851,13.4144045661,0.0,24.7102508882
2.0,-110.620848158,155.414758503,13.1808814312,25.755516513,14.6105901956,0.0,24.0610723519
3.0,-98.2347913539,149.168397224,14.4762106724,39.6878282456,13.2503148979,0.0,23.4247756517
4.0,-89.0077005155,139.079408467,12.1421805663,53.5577451888,14.4586684228,0.0,22.7972821239
5.0,-75.4190435158,133.435545907,10.3052454087,68.3860665511,15.1680390212,0.0,22.0315149168
6.0,-67.8538676008,125.163710712,16.2182755336,81.0596244329,10.2138627483,0.0,21.5354514888
7.0,-64.7654542113,116.033310352,17.0583547119,90.7347596267,9.14643436211,0.0,21.3222314469
8.0,-57.9552186245,108.903921631,14.8695849114,100.834175725,11.0370088775,0.0,21.0783293029
9.0,-47.0236644171,104.639341315,11.763276246,112.972325344,13.2083190274,0.0,20.6552075166
10.0,-38.9665018637,96.2045899615,14.3930231962,124.929685749,10.7194024184,0.0,20.2495771313
11.0,-32.0587895998,93.5097770202,18.2479394776,133.286652007,6.0309810752,0.0,20.1017994536
12.0,-26.4897259804,93.8687819519,18.6811645787,138.884065528,5.20199627418,0.0,20.0604084746
13.0,-20.503185039,91.5333331975,16.283299034,145.742837466,8.51668878072,0.0,19.9802403075
13.0,-20.503185039,91.5333331975,16.283299034,145.742837466,8.51668878072,0.0,19.9802403075
14.0,-13.6156863482,93.7274346669,17.8554597062,153.140364665,6.30733077912,0.0,19.8831060649
15.0,-9.14954826158,97.8443332459,18.0682314265,159.218235601,5.87984015751,0.0,19.8303374549
16.0,-2.43105402842,99.9845961674,15.4530989671,166.738728133,9.15584457644,0.0,19.7257539063
17.0,5.34028397118,98.9849215888,17.167643804,174.759495401,6.9113809919,1.0,19.6022608894
18.0,12.9945563297,97.1046915213,15.4222334083,182.832264931,9.68484089538,1.0,20.2028727136
19.0,17.9774362638,93.0981909999,19.831889897,190.599259795,4.83436717502,1.0,21.0230777656
19.0,17.9774362638,93.0981909999,19.831889897,190.599259795,4.83436717502,1.0,21.0230777656
20.0,23.6331309676,94.2179325125,19.033168972,196.419797464,7.15294813709,1.0,21.6409501674
21.0,31.5758283624,92.266852415,16.3814439737,205.017750762,10.6428456874,1.0,22.1546429709
22.0,42.0556826981,90.8640830933,17.108653506,215.616049794,10.4563137544,1.0,22.6812578552
22.0,42.0556826981,90.8640830933,17.108653506,215.616049794,10.4563137544,1.0,22.6812578552
23.0,45.826045849,84.9174493374,21.8835323323,224.123549963,5.54576754883,1.0,23.4510928678
