time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-123.927173856,160.571801028,18.0899149724,11.3762286388,6.20289193901,5.14264538602,0,20.050968408
4.0,-116.523618072,147.228773659,18.8548639921,26.6547810772,3.76812980874,5.33208512365,0,19.5785542192
4.75,-115.080428983,144.003126283,19.3896682496,30.2288000103,0.847298635175,5.46317897064,0,19.426259227
6.5,-113.305011046,136.699115985,19.1299454369,37.7499788559,2.38879465254,5.39965324611,0,19.4207884488
8.5,-107.036526133,123.697248536,16.9281526368,52.3510182644,6.95947041482,4.8505859186,0,19.3967677467
9.0,-105.970361126,119.830283379,17.7909775007,56.4540164472,3.51439804883,5.06799557947,0,18.4204878802
11.0,-101.910183101,108.940911086,18.0331812403,68.0782212455,2.47530360917,5.12850469848,0,18.3454711464
12.5,-100.007840794,102.801454613,18.2751751091,74.5102032939,0.874613933447,5.18873373594,0,18.3141633626
12.5,-100.007840794,102.801454613,18.2751751091,74.5102032939,0.874613933447,5.18873373594,0,18.3141633626
13.75,-99.2879821631,98.0515428071,18.2267839181,79.3145971493,1.30185257977,5.17670801766,0,18.3131661882
15.75,-95.3556684407,90.746304689,17.7288874625,87.6258844174,3.18142737541,5.05244708203,0,18.244763107
17.75,-89.1445203288,81.0471515703,17.3736094471,99.1488247781,3.89519800636,4.96319078583,0,18.1469309307
19.75,-87.1717954952,72.136847754,17.9353621591,108.292167902,0.73758167015,5.10409425651,0,17.9630903304
21.75,-84.9960158674,60.7954135761,16.7530847882,119.900782203,4.86158866195,4.8061203058,0,17.9577251713
23.75,-82.1191223275,43.2848059931,16.2910790464,137.652158027,6.34797738738,4.68820328027,1.48243928762,18.344943313
25.75,-79.9846853868,33.1038796476,20.3112129805,148.804223269,1.09587158143,5.68646505209,1.28378130457,20.3724226912
25.75,-79.9846853868,33.1038796476,20.3112129805,148.804223269,1.09587158143,5.68646505209,1.28378130457,20.3724226912
26.0,-79.8285986657,32.1455014876,20.6770627642,149.841863778,0.300263326423,5.7741937125,1.20509499219,20.6816579764
28.0,-72.4028586183,24.3456412067,19.543887125,160.670692093,8.48137842515,5.50077541032,1.81037161645,23.2102367677
30.0,-58.49146257,21.1384371642,21.49626607,175.079886426,6.27806870795,5.96874779889,1.10995149017,23.5051420486
32.0,-49.3232749847,19.1709270375,21.7903892309,184.461425113,5.15370232305,6.03796344609,0,23.1441429329
34.0,-42.9944451399,19.5224667011,21.5057306835,190.806399331,5.11837807277,5.97098032934,0,22.8409903214
36.0,-39.2260877679,19.1658335816,22.0518108847,194.630782687,3.24882223875,6.0992013233,0,22.5897744901
38.0,-33.3229209482,19.7334158633,19.6040271714,201.046480097,7.53207204058,5.51541167962,0,22.4955719841
40.0,-24.7817301378,23.5315716092,19.4160192259,210.395986743,6.60258957342,5.46960952239,0,21.6379452745
42.0,-14.2576312828,22.9579471164,19.1868519526,220.938198057,6.03249927979,5.41359446108,0,21.0416454063
44.0,-5.43000759621,26.8406069946,15.8395836278,231.146341518,9.48584984815,4.57216747358,0,20.425788895
46.0,9.17168930102,28.8189655163,15.7519261738,245.881711841,7.7476099722,4.54954739885,0,18.8113278192
48.0,16.6405700814,31.1824303027,16.8393935702,253.790740305,4.46476740148,4.82805682102,0,17.8554051885
50.0,22.6625195092,27.8383398301,17.2596051989,260.691710803,2.91326823806,4.93444561942,0,17.6921807252
50.25,23.0157064155,27.4003068776,17.4605478773,261.289198726,1.89508960498,4.98507760377,0,17.6435939839
52.25,27.0640753298,22.841473844,17.0354418267,267.400905906,3.25978482018,4.8777775229,0,17.5770420853
54.25,38.1282199217,19.7541856985,13.0587018673,279.55660845,9.41540413842,3.84000765295,0,17.577042086
56.25,51.3953341552,23.823759499,12.967071168,293.434149558,7.70774685971,3.81537143693,0,15.9950712523
58.25,60.3124896875,28.4792222142,12.7871713241,303.495032214,6.70909671135,3.76690790141,0,15.08135984
60.25,69.2029737327,27.3734318852,13.656964872,312.496144347,3.99632407162,4.0000572752,0,14.4709611047
61.25,70.7374002956,25.02711664,14.2788182481,315.367792259,0.312385673159,4.16494377374,0,14.2837919896
62.25,71.4439769556,21.863526568,14.1351097708,318.612511792,1.7077464407,4.1269724917,0,14.2837539046
64.25,76.6348066045,17.8626864463,13.0796069059,325.250698323,4.6864843611,3.84562369902,0,14.1990327808
66.25,83.9555971604,12.1562885202,13.5429602762,334.544333134,3.01617508441,3.96966558745,0,14.0066357165
68.25,90.0164469262,7.9561392633,13.1808467682,341.927169977,3.79793631153,3.87279731469,0,13.9160312853
70.25,97.799762972,1.61259946059,12.8477971177,351.973633433,4.26926218356,3.78325403959,0,13.7767777289
72.25,105.80682979,-1.74941801686,12.5312984454,360.663653683,4.56308939058,3.69776122309,0,13.5925514926
74.25,114.872311565,-0.107449605504,9.64211857436,370.319034587,8.52534910414,2.89933985723,0,13.3465822516
76.25,129.391276043,-0.490897912666,9.50220877316,384.84373551,7.19607512449,2.85985257125,0,12.1415307506
78.25,137.777462523,0.770602707444,10.473637354,393.379728772,4.21594699874,3.13245326406,0,11.3795603457
80.25,143.981841795,-2.97608523981,10.8469952264,400.637234461,2.78761303043,3.23624885449,0,11.2430597732
80.5,144.386188494,-3.39496599932,11.0380066466,401.249968258,1.78863202102,3.28914166276,0,11.2010649803
82.5,149.299770878,-0.439971647314,6.44272721828,408.597884731,9.66222473879,1.97734560781,0,11.2010649809
84.5,153.315525335,7.9665680532,7.94004160056,418.033887272,5.18414836395,2.41379015115,0,9.30983743437
86.5,159.270552416,10.517423681,7.65619918886,424.518467327,5.13855597197,2.33172355978,0,9.00200741909
88.5,165.959434888,9.37287409857,8.20774581808,431.326943379,3.2399794338,2.49090388447,0,8.74278489716
90.5,170.002131791,9.25535484636,7.85520518454,435.386684002,3.93075225877,2.38929442804,0,8.64270841185
92.5,176.649493066,8.13046566977,7.526916147,442.13654039,4.35166231,2.29424053417,0,8.49210293907
94.0,179.035220308,7.18378244011,8.15347963624,444.778601218,1.55392155327,2.47529470302,0,8.27655161349
94.5,179.132586234,6.09986667307,8.27052499889,445.873157352,0.0729204792537,2.50894747773,0,8.27079601807
94.75,179.15966709,5.42585160536,8.26101259467,446.5477833,0.438119472588,2.50621446739,0,8.2707959113
95.75,179.645937233,2.91016389746,8.14994453702,449.112443007,1.53927136055,2.47427746638,0,8.27070683679
97.75,182.487064437,-2.05469028302,8.01022447797,454.834444625,2.18124769574,2.43403366409,0,8.25272404526
99.75,184.769870073,-7.96719909219,8.13747591297,461.173620827,1.32877163377,2.47068919038,0,8.227467455
101.75,189.522922193,-15.8992649759,7.75964616961,470.428453562,4.09545659501,2.36166916283,2.49668712942,8.6145271442
103.75,191.435639867,-24.0349475621,13.9769335276,480.844906035,0.733726020967,4.08508569999,2.80547488932,14.0043725629
104.5,191.670033175,-26.6706692563,15.9672632495,484.156005773,0.783185381658,4.60506188285,2.48526801044,15.9985262129
105.5,192.169680816,-30.2114861115,18.1267182653,488.333358731,0.905463350846,5.15181179193,1.83308977762,18.1685054151
106.0,192.441064566,-31.9284864232,18.9834472597,490.271327714,0.360500852862,5.3637055676,1.45748219771,18.990071157
108.0,197.831211703,-35.5168965605,18.40431346,496.772540635,7.12015126344,5.22078142825,1.05655020677,20.9882356829
110.0,209.888118123,-35.1064958854,19.1979041164,508.862503714,7.17862157652,5.41630061078,0.958249335021,21.8244386597
112.0,218.612811673,-31.1391416154,20.2914605137,518.509059733,6.92867279856,5.68171372693,1.24756090516,22.7382753328
114.0,229.952736854,-27.6745343852,20.2069952504,530.36673829,8.92292792704,5.66137906433,1.63412564687,24.2650300512
116.0,238.237638177,-18.3546373244,20.7279734156,542.847583189,9.7955059512,5.78636056936,1.93830726756,25.6184900741
118.0,243.070291499,-21.3463487906,24.3213414811,549.571954512,0.458788219563,6.6196776915,0.666874603068,24.3320696478
120.0,245.899712138,-27.8320410345,24.322852927,556.647958138,3.78523152115,6.62001764569,0.266058627485,25.0531270182
122.0,249.82655515,-35.31792338,24.8391606823,565.117025633,1.1048448662,6.73562608114,0,24.9013768994
124.0,252.370626129,-43.8063691503,24.5626820815,573.982827861,2.51165720581,6.67384753111,0,24.8842122507
126.0,254.471836656,-53.0925478684,24.7823148891,583.506295687,1.17296355761,6.72294826761,0,24.8524394308
128.0,255.95261983,-63.0588586102,24.5327154831,593.585103577,2.403311118,6.66713371753,0,24.827104083
130.0,257.949414794,-78.9894309145,22.3522780506,609.787715449,6.90598639516,6.16925757916,0,24.7830959961
138.691368557,300,-120,10,669.810188456,6.90598639516,3.0,0,12.4308179455
