time,x,y,z,d,V,Wv,E
0,-130,170,20,0,10,0,25.0968399592
1.0,-120.170617283,165.416483564,15.5386785201,11.7272663851,13.4144045661,0.0,24.7102508882
2.0,-107.732368048,159.062785575,11.8885836859,26.1634263472,15.415549439,0.0,24.0006715813
3.0,-97.3965485278,147.522438518,10.651854497,41.7049280268,15.640159062,0.0,23.1194679264
4.0,-87.8173423859,135.540677459,10.7660987363,57.0456203229,15.0246376063,0.0,22.2716917638
5.0,-85.2022292553,124.765429303,16.6126077912,69.5806296022,10.080073053,0.0,21.7913984515
6.0,-80.7489265747,118.726181149,19.7076006717,77.6974888447,6.18706115679,0.0,21.6586570304
7.0,-74.6955373343,115.426427356,18.4413607398,84.7071436121,7.84315801879,0.0,21.5766883498
8.0,-66.2231878511,114.894108481,16.9173016554,93.3319233335,9.40417739184,0.0,21.4248731343
9.0,-57.1818998762,109.965625758,13.1829455173,104.285472802,12.4713978204,0.0,21.110354467
10.0,-45.874006497,103.510982428,10.3605423182,117.608266541,14.1413613701,0.0,20.5531061
11.0,-31.6545089054,102.337404864,9.19966426543,131.923259867,14.4652409621,0.0,19.8644550957
12.0,-22.4370549611,97.0760024416,14.7867778481,143.91741056,9.55746192809,0.0,19.4424903102
12.0,-22.4370549611,97.0760024416,14.7867778481,143.91741056,9.55746192809,0.0,19.4424903102
13.0,-16.8651918215,93.8955347768,18.1065348584,151.14110906,4.92921982474,0.0,19.3449246689
14.0,-13.7816203361,89.5375323532,17.5732965297,156.506269015,5.83463700881,0.0,19.3084131976
14.0,-13.7816203361,89.5375323532,17.5732965297,156.506269015,5.83463700881,0.0,19.3084131976
15.0,-10.2988297843,84.6153148085,17.2531731453,162.544524936,6.26965316423,0.0,19.2566670699
16.0,-9.11311518862,78.0790132459,16.6205186598,169.217560896,7.09559936085,0.0,19.1866517021
17.0,-4.48387312389,71.5365191824,14.4387968284,177.523824846,9.51093575652,0.0,19.0492911691
18.0,-0.492148722121,61.9295626284,10.1502114819,188.776355326,12.957028658,0.0,18.7070204342
19.0,-0.293291143173,49.6467285178,11.2711643101,201.111836402,11.7143266727,0.0,18.2653258491
19.0,-0.293291143173,49.6467285178,11.2711643101,201.111836402,11.7143266727,0.0,18.2653258491
19.0,-0.293291143173,49.6467285178,11.2711643101,201.111836402,11.7143266727,0.0,18.2653258491
20.0,8.4022805192,47.4669931854,14.9956734113,210.819368565,7.73050189623,0.0,18.0415785881
20.0,8.4022805192,47.4669931854,14.9956734113,210.819368565,7.73050189623,0.0,18.0415785881
21.0,16.8965911442,45.3377083364,11.7902646337,220.144700323,10.8999188467,0.0,17.8457300192
21.0,16.8965911442,45.3377083364,11.7902646337,220.144700323,10.8999188467,0.0,17.8457300192
21.0,16.8965911442,45.3377083364,11.7902646337,220.144700323,10.8999188467,0.0,17.8457300192
22.0,24.3290085332,46.7726703843,15.7284349082,228.677526903,6.20188271314,0.0,17.6888502592
23.0,31.6308530405,45.3610894335,12.2219056277,236.899767569,10.2248766698,0.0,17.5505551136
23.0,31.6308530405,45.3610894335,12.2219056277,236.899767569,10.2248766698,0.0,17.5505551136
23.0,31.6308530405,45.3610894335,12.2219056277,236.899767569,10.2248766698,0.0,17.5505551136
23.0,31.6308530405,45.3610894335,12.2219056277,236.899767569,10.2248766698,0.0,17.5505551136
23.0,31.6308530405,45.3610894335,12.2219056277,236.899767569,10.2248766698,0.0,17.5505551136
23.0,31.6308530405,45.3610894335,12.2219056277,236.899767569,10.2248766698,0.0,17.5505551136
24.0,40.8132664744,50.4245104801,11.3111576183,247.425184953,10.8186301548,0.0,17.2766396992
25.0,51.3796215156,51.9952422811,11.3226324937,258.107656059,10.5452681864,0.0,16.9904551809
26.0,59.8872318737,57.6167734595,11.772148605,268.314668919,9.87322954283,0.0,16.7405819182
27.0,68.0258977524,58.8266193584,13.9630017854,276.829447075,7.18208072055,0.0,16.5920682215
27.0,68.0258977524,58.8266193584,13.9630017854,276.829447075,7.18208072055,0.0,16.5920682215
28.0,75.2903142935,59.9065045253,13.6010445151,284.182603725,7.54001366746,0.0,16.4986900862
28.0,75.2903142935,59.9065045253,13.6010445151,284.182603725,7.54001366746,0.0,16.4986900862
28.0,75.2903142935,59.9065045253,13.6010445151,284.182603725,7.54001366746,0.0,16.4986900862
29.0,77.36881638,55.1160675422,15.7238693418,289.819521558,3.77957152669,0.0,16.4519611321
30.0,81.0198817587,51.8807999209,14.3368193033,294.891123158,6.39204709862,0.0,16.4192997371
31.0,84.5481986365,50.8326721289,16.2083647558,299.02032093,1.92850196002,0.0,16.3979223404
32.0,87.269748132,48.4210634478,14.3993655628,303.081745085,6.23025163158,0.0,16.3777567653
32.0,87.269748132,48.4210634478,14.3993655628,303.081745085,6.23025163158,0.0,16.3777567653
33.0,94.1303066445,49.4409134704,13.1263528713,310.133547584,7.88387419256,0.0,16.2943178196
34.0,98.8961233694,48.0251718763,15.6780697568,315.721802444,3.339756037,0.0,16.2465697765
