time,x,y,z,d,V,Wx,Wz,E
0,-50,110,20,0,10,3.92574306153,0.0719690141014,25.0968399592
1.0,-35.8139368491,106.265548893,15.6684427532,15.2955189834,13.6527264309,3.7274312354,0.0783542347564,25.1687964228
2.0,-21.2963952258,98.2954063795,15.8423844281,31.857899313,13.1554344171,3.54421149959,-0.0114040570665,24.663253679
3.0,-8.11736462236,90.7062280645,17.1908669743,47.1255409226,11.4294232708,3.37329781896,0.0743155351784,23.8489564902
3.11111111111,-6.64523332292,90.344876815,17.6228649977,48.7017285957,10.7263544001,3.37535163484,0.0850069691962,23.4870178375
3.22222222222,-5.18658907125,90.3784215198,18.0296400613,50.216401581,10.0626375864,3.37947885641,0.0842890495915,23.1905307441
3.33333333333,-3.84527051897,90.0603735004,18.4113891885,51.6467939738,9.43394819742,3.37908743884,0.0951517582937,22.9475450801
3.44444444444,-2.51729797278,90.0898602071,18.7706983854,53.0228330896,8.83641546029,3.39180108016,0.0970121883727,22.7504251023
3.55555555556,-1.29301776051,89.8108041614,19.1077257485,54.3229568369,8.26669606825,3.40913297967,0.109425054283,22.5908176897
3.66666666667,-0.221615095071,89.2652473028,18.7957757668,55.5650714647,8.64275477787,3.40612400581,0.113216020416,22.6029730222
4.44444444444,5.03921026572,85.0487224716,20.7245643715,62.5776024351,5.10028443316,3.4362218474,0.187953768431,22.0504003194
4.55555555556,5.86590941026,84.6982851171,20.7448320442,63.4757386127,5.0942290929,3.44316206812,0.173982303418,22.0675216493
4.66666666667,6.54633953767,84.217387951,20.7635421803,64.3091636615,5.0882225625,3.43790986871,0.18327245445,22.0831144966
5.66666666667,13.9824670734,81.0680618983,20.8938712934,72.3857491399,5.12691609179,3.37188432175,0.199179736645,22.2335893674
6.66666666667,20.5737248975,77.079012493,21.0419757978,80.0915346162,5.15981655663,3.31216186659,0.25756291933,22.3989435296
6.77777777778,21.4256008225,76.7871924769,21.1198791509,80.9953711312,5.04982252279,3.3114755292,0.263963144445,22.4196094013
7.77777777778,27.9060374195,72.8606079246,21.33730628,88.5757008925,5.07421621495,3.26320957917,0.392189815132,22.6496238231
7.88888888889,28.7510073015,72.569672612,21.3804643374,89.4703964136,5.0660786221,3.26272575605,0.403933478752,22.688576091
8.88888888889,35.4534878544,68.3075539679,21.2312758955,97.4146495623,5.98404648212,3.19940217898,0.509118259164,23.0563937497
9.88888888889,43.7316195184,65.2445166636,21.7302463635,106.255386687,5.88471282426,3.30250948356,0.439640210297,23.4952741425
10.0,44.6778858292,65.1309147385,21.9940531191,107.244284726,5.4263035891,3.34038820876,0.456941307453,23.4948059551
10.1111111111,45.6054931651,65.2181063186,22.1956451179,108.197540765,5.07075697289,3.37549229971,0.431415392587,23.5061739802
11.1111111111,54.005835155,64.7154646267,22.5946768776,116.622362458,5.05220743597,3.40866621361,0.300298564745,23.8956350823
12.1111111111,63.5480811102,66.2774851737,20.3766670435,126.542742173,8.65644058209,3.20911438088,0.28068900725,24.1959312408
12.8888888889,70.1490343418,69.0764118455,22.4391072229,134.003320808,5.11062699579,3.42593752338,0.279524857221,23.7703257901
13.0,70.86091166,69.5371400931,22.4696691786,134.851833547,5.10344001916,3.42265795049,0.288741544125,23.7971462443
14.0,75.6634598207,74.4421929547,22.7150676002,141.720911563,5.11760989426,3.41675530042,0.265371535034,24.0499264702
14.1111111111,76.0012037565,75.0009984046,22.7934205261,142.378538872,5.00759402194,3.4232314157,0.267375250104,24.0715040066
14.2222222222,76.5321364199,75.536237764,22.8225850148,143.133006388,5.00107325013,3.42830014139,0.257353859997,24.0973420817
15.2222222222,82.8773932494,79.593764809,23.03381222,150.667621633,5.0259813135,3.49548656169,0.197068245,24.3212988746
16.2222222222,90.5259895499,82.4255112979,23.1798000325,158.824896054,5.0626972602,3.49235944936,0.190511111143,24.4861661665
16.3333333333,91.4588051209,82.5642476912,23.2003596596,159.768196311,5.05666849931,3.4865609436,0.198155117664,24.5036163524
16.4444444444,92.4049086028,82.5083594832,23.2217648991,160.71619076,5.05067943674,3.48536542775,0.207973581025,24.5219362943
17.4444444444,100.441386434,80.3168474552,23.378380952,169.047590971,5.08708953799,3.43418872565,0.295024752899,24.6973656598
17.5555555556,101.217349389,79.9125301742,23.410669678,169.923167086,5.07987911165,3.43304532911,0.298033683189,24.7259179853
18.5555555556,109.058699859,77.407155271,23.6668407881,178.159021883,5.0905811235,3.38547327948,0.264991138054,24.9876367196
19.5555555556,116.273113468,73.4454328309,23.3623572764,186.39526609,6.03506646532,3.31478266969,0.17025498294,25.2187297147
20.5555555556,121.828296367,68.4189749662,24.0169286215,193.915492107,5.02226002306,3.32581057623,0.0943997752479,25.3025094441
21.5555555556,125.596263804,62.1329827695,21.6040415127,201.631274679,8.62647193238,3.00955162604,0.0384496126973,25.3969068542
21.6666666667,126.285172002,61.3376125865,21.9266573961,202.731860542,8.06609802611,3.03447007153,0.0384775439829,25.2427602181
22.6666666667,134.002196315,56.4926741408,23.2281411799,211.936193914,5.65765128231,3.2719753047,0.0979219008595,24.8595896015
23.6666666667,141.565362669,51.0996063519,20.5837992181,221.594310184,9.26348590318,3.24959782195,0.129320674389,24.9575082435
24.3333333333,145.237755008,46.6009593889,22.4361407654,227.689837988,6.04093356862,3.49726068765,0.130508617234,24.296124373
25.3333333333,149.937953182,41.2127604786,23.0486614928,234.866169363,5.05351887453,3.60974369502,0.0936582896402,24.3502951837
25.4444444444,150.641258016,40.7399185656,23.0583588812,235.713701784,5.0481164234,3.62618640757,0.0911067267473,24.3572110434
26.4444444444,155.369101814,35.8053735693,23.0891747529,242.547675073,5.10513566037,3.64461791158,0.0951695643326,24.4175340857
26.5555555556,155.700899337,35.2432145293,23.0990557995,243.200522695,5.09952264117,3.64543010982,0.0953360857724,24.4244957163
26.6666666667,156.226091342,34.7050644317,22.9070354006,243.976605166,5.47542355427,3.63587243736,0.0914286721241,24.4350814301
27.6666666667,159.155719911,29.2783113758,22.9427908747,250.143748,5.50504140566,3.67804914025,0.143138826569,24.4874127339
27.7777777778,159.684525162,28.7402109524,23.1593141094,250.928648867,5.05778764933,3.68915482086,0.142959033138,24.4631477437
28.7777777778,162.720446557,23.7207882771,23.2467199655,256.795425026,5.10370536785,3.71140950882,0.136052940258,24.5743350767
29.7777777778,164.080325554,19.1871052553,23.3268164809,261.529341806,5.14866863599,3.72146628611,0.126273986999,24.6779270173
29.8888888889,164.421044703,18.6278885391,23.3899870742,262.187219756,5.04079643919,3.72506582038,0.124779176642,24.6850751854
30.8888888889,165.236768272,13.0187605676,21.0006580718,268.33836718,8.64502078104,3.62018435048,0.161704766458,24.8098519711
31.0,165.526387766,12.1533677759,21.337667428,269.311177255,8.08382939304,3.63618344861,0.159658251315,24.6683655756
31.1111111111,166.108090372,11.3574933695,21.653311883,270.346274068,7.54661401553,3.65531036628,0.163257289482,24.5560327341
32.1111111111,173.130886907,6.08889101842,22.9730834649,279.224316586,5.19904153311,3.76009642622,0.160722278884,24.3507609808
32.2222222222,173.673476071,5.52988371116,22.835560882,280.015394731,5.48438492119,3.75585601025,0.162978990361,24.368612766
32.3333333333,174.386577499,5.06711454392,23.0535078874,280.892987943,5.0377193938,3.78920627198,0.171286609546,24.3470153639
33.3333333333,182.65151427,0.610849537646,20.7118187976,290.570331867,8.64194151125,3.81845876029,0.13126224536,24.5182995868
34.3333333333,192.407920885,-2.14232261461,22.6555042785,300.892412093,5.07671274682,3.95076870033,0.149241199423,23.9691134688
34.4444444444,193.408589329,-2.19023125035,22.6714361647,301.894353407,5.07093132458,3.94870018178,0.164633782813,23.9820551504
34.5555555556,194.358183521,-2.42709039373,22.6890865981,302.873201158,5.06511287165,3.94934199416,0.164283355834,23.9966996665
35.5555555556,203.35715185,-2.85778868655,22.79907612,311.883141763,5.10783100659,3.91112084902,0.316257345743,24.1288384845
35.6666666667,204.306219013,-3.09633946119,22.8337317619,312.862343461,5.10050347247,3.9125289666,0.315335949247,24.1596815923
35.7777777778,205.142247409,-3.49589710126,22.86828815,313.789588806,5.09314780092,3.89958640833,0.344079278284,24.1904163112
36.7777777778,211.380285264,-8.4823220549,22.6504750693,321.778643358,6.0229524262,3.9093188908,0.496943999618,24.4994024866
37.7777777778,219.51947785,-12.6937995182,23.1378929932,330.95582019,5.92149352112,4.06286951614,0.685363235436,24.9250533153
37.8888888889,220.223171154,-13.2317163125,23.4303911095,331.888608426,5.461965258,4.07234831408,0.669786075707,24.950934661
38.0,221.063226517,-13.617602931,23.7038035302,332.852639467,5.01593160493,4.07830960267,0.655435369394,24.9861465407
38.1111111111,221.752653838,-14.1214412777,23.7764467707,333.709634304,5.00105056956,4.10667991481,0.670824577304,25.0511922752
38.2222222222,222.604664024,-14.5154326938,23.8015490675,334.648666102,5.08976825573,4.11545572382,0.669465124695,25.1219232212
38.3333333333,223.574290261,-14.7529890163,23.875750091,335.649722463,5.07581687435,4.18667991972,0.684646134677,25.1888957048
38.4444444444,224.438550848,-15.1503273247,23.9516513336,336.603968286,5.06101368047,4.1886283459,0.677699062156,25.2571487584
38.5555555556,225.400343319,-15.3804817972,23.825900094,337.600878118,5.43443338985,4.16024418597,0.668359285208,25.3311532168
39.5555555556,233.366987043,-19.1703268435,24.4861929883,346.447703787,5.31477303539,4.37322882717,0.584603771587,25.9258878108
40.5555555556,241.364332803,-24.6543731085,22.455626461,356.355049701,8.91943946383,4.64710915356,0.403483941947,26.5104888641
41.3333333333,249.102629906,-27.7104953411,24.6787384989,364.966864393,5.30851492541,4.5745823907,0.156671905524,26.1150448553
42.3333333333,256.995594275,-31.8505918652,24.7830884018,373.880347139,5.33735731532,4.51552799188,0.0496201069217,26.2350447275
43.3333333333,264.402492619,-37.7772540506,22.2091877406,383.709509481,8.94208066961,4.34051190868,0.101082030007,26.2846620883
44.3333333333,272.692137199,-46.8989189158,18.3197384027,396.634322568,12.5799347843,3.73315533308,0.668072821181,26.3857302058
