time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,10,5.6114286,0,25.0968399592
1.0,-119.780642682,161.044327222,16.6895362975,13.9856536784,12.8433259371,4.78995011658,0.0,25.0968258555
2.0,-107.23417955,154.705526579,16.747075555,28.0425893867,12.4263046919,4.80459190212,0.0,24.6172615028
3.0,-96.9246422277,144.491605981,18.0122830778,42.6100697401,10.76781935,5.12329275135,0.0,23.9218617503
4.0,-91.7820070719,133.465981346,20.8721658658,55.1076704898,5.66253026249,5.82076567358,0.0,22.5064293202
4.11111111111,-91.2764034377,132.558667517,21.0787332565,56.1666905585,5.21073674134,5.86991300764,0.0,22.462615896
5.11111111111,-86.0947763169,126.056253066,21.0122514096,64.4814408942,5.27508035833,5.85411347668,0.0,22.4305221938
5.22222222222,-85.5239751099,125.537415557,21.0114799409,65.2528078455,5.26943045178,5.85393003495,0.0,22.4267142572
6.22222222222,-79.2398462023,121.742218866,18.4130659298,73.0403330896,8.87399165621,5.22295114509,0.0,22.4267115931
7.22222222222,-69.3894583351,116.257182928,14.448943657,84.9914847398,12.5109389098,4.20979132159,0.0,22.4267006603
8.22222222222,-58.7625319174,107.11427747,15.7262709416,99.0682688294,10.8375823284,4.54292139804,0.0,21.7126720998
9.22222222222,-48.6998978287,101.703288542,16.7776832877,110.54175452,9.39327366776,4.81237528809,0.0,21.2748081704
10.2222222222,-42.1731929352,93.6888637843,18.7789201945,121.069519246,5.61524980175,5.31337929227,0.0,20.3860063482
11.2222222222,-36.3609189464,85.0507432278,16.0524093146,131.832117317,9.22090621878,4.62696306219,0.0,20.3860031727
12.2222222222,-31.0834268957,73.5658777419,16.8966330868,144.499665279,7.9698031926,4.84258903531,0.0,20.134031809
12.3333333333,-30.4016293137,72.5978514781,17.190241406,145.719554059,7.4372678551,4.91693143898,0.0,20.0094541047
13.3333333333,-26.1673582009,62.1838556493,17.8208105164,156.979126803,6.36612606725,5.07546099209,0.0,19.8864354453
14.3333333333,-19.7633426452,53.453587371,14.8138821329,168.21614677,9.97614191966,4.3056150726,0.0,19.8864309403
15.3333333333,-9.93294533201,46.3385870822,13.7560582058,180.39723588,10.6732259266,4.02643284738,0.0,19.5622636941
16.3333333333,-3.93773512751,37.445283439,16.5869284622,191.489901092,5.60073239441,4.76380798395,0.0,18.1857155852
17.3333333333,1.42088074159,31.0751716081,16.795105178,199.816750815,5.57568191269,4.81680395774,1.0,18.3796224457
17.4444444444,1.97852379188,30.5681488081,17.1095023067,200.633380135,5.12641355284,4.89652147695,1.0,18.448957756
17.5555555556,2.52215510191,29.8599600043,17.2205764774,201.533048882,5.08715758296,4.9245932672,1.0,18.5395964709
18.5555555556,8.27925262925,23.9919357238,17.1251451571,209.754179463,6.81547896189,4.90047779697,1.0,19.4926657218
19.5555555556,15.6640691045,20.5241912199,16.7164075006,217.922890058,8.50396371098,4.79678952563,1.0,20.40230958
20.5555555556,22.4553257905,14.3164019101,18.9886611117,227.400281681,5.5968097005,5.3649863722,1.0,20.5852094718
20.6666666667,22.9442063475,13.4412452158,19.3038574095,228.451115704,5.1469257232,5.44221945132,1.0,20.6540533525
20.7777777778,23.5063768669,12.7426555911,19.4149402359,229.354665676,5.10791064591,5.46934626441,1.0,20.744744067
20.8888888889,24.0619840162,12.2380978067,19.526007053,230.113357774,5.06891587717,5.49642123101,1.0,20.8355844317
21.0,24.544581595,11.9120525591,19.6370583043,230.706264434,5.03030403691,5.52344447962,1.0,20.9267605828
22.0,30.6825338199,7.69233867836,18.1597864285,238.299865354,8.54316892893,5.16004341939,1.0,21.8797525523
23.0,38.4560565941,6.70852942874,18.3998807424,246.139073365,9.19007704737,5.21968245435,1.0,22.7045451734
23.8888888889,42.3385087953,6.09001832644,21.4725134145,251.128769009,5.05041774356,5.96314344592,1.0,22.7725500804
24.0,42.8301550898,5.69204526926,21.583557281,251.770975653,5.01195672276,5.98932501137,1.0,22.8638687076
25.0,47.7712261916,3.6344450573,20.1144538668,257.321306013,8.52055569279,5.63906828434,1.0,23.8147530164
25.1111111111,48.5914857807,3.26056459093,20.5399200496,258.318117866,7.96482120759,5.74136862209,1.0,23.7732725913
25.2222222222,49.2289113966,3.10609506675,20.9444514844,259.088713694,7.43249630277,5.83798301368,1.0,23.7600478805
25.3333333333,49.9432344955,2.67735685266,21.3289190286,260.006258919,6.92114645252,5.92921618392,1.0,23.7704209765
25.4444444444,50.4959953741,2.43766725678,21.6941027802,260.710783484,6.42861702878,6.01534148175,1.0,23.8004797885
26.4444444444,56.8184033731,-1.21923187148,22.1002184289,268.025883214,7.15204012933,6.11051162455,1.0,24.7073375936
27.4444444444,63.0980020312,-7.4226525294,23.6866756576,276.994307474,5.49429066718,6.47614429774,1.0,25.2252704555
28.4444444444,68.6214835303,-15.8731107477,24.1633724805,287.101054321,6.25136001239,6.58409838023,1.0,26.1551921545
28.5555555556,69.2493983861,-16.5996995262,24.5032834203,288.119753377,5.78149290393,6.66053626647,1.0,26.2069358259
28.7777777778,70.3478682624,-18.4748059715,25.0370362327,290.357509466,5.06032273959,6.77965858567,1.0,26.342177223
28.8888888889,70.8941898787,-19.2189716826,24.9475981856,291.2850056,5.41583854796,6.75977511498,1.0,26.4425679704
29.0,71.4195321897,-19.7732728732,25.2092299777,292.092276031,5.06058776997,6.81785240842,1.0,26.5145076829
30.0,76.8936609928,-24.6468559963,25.1185160258,299.422086917,6.78953948974,6.79774575567,1.0,27.4680494857
30.1111111111,77.4205185494,-24.9717576613,25.4787356651,300.138256007,6.30163454876,6.87739944782,1.0,27.5027212913
30.8888888889,81.5863036797,-28.9434915804,26.6503600982,306.012023102,5.13372285083,7.13298837052,1.0,27.9936378918
31.2222222222,83.2783696849,-31.3468114374,26.9833035383,308.970043561,5.01935349808,7.20464646573,1.0,28.267396787
31.3333333333,83.8062735525,-31.9607504463,27.0451703106,309.782097191,5.10238579124,7.21791435008,1.0,28.3720989937
31.4444444444,84.2418827989,-32.4045114312,27.1562359253,310.413773372,5.06458223039,7.24169605142,1.0,28.4635750267
31.5555555556,84.7702156729,-33.0229948986,27.2672858261,311.234742011,5.02639268599,7.26542646571,1.0,28.5549832488
31.6666666667,85.202821181,-33.473926804,27.3290830433,311.86267991,5.10949912277,7.27861125009,1.0,28.6597140976
32.6666666667,90.3570373566,-38.9790768613,27.8339029387,319.420951185,5.88185907239,7.38576168417,1.0,29.5972192561
33.6666666667,96.0568992961,-46.5173966586,28.8532549688,328.926411198,5.50238595361,7.59910546728,1.0,30.3963870372
33.7777777778,96.5762485902,-47.1810732707,29.1648846944,329.824911849,5.05520767956,7.66352170657,1.0,30.4673885009
33.8888888889,97.0078180811,-47.6776296088,29.2759311985,330.492108783,5.01749328872,7.68638467394,1.0,30.5590728347
34.1111111111,97.5802827063,-48.4152716729,29.3984004062,331.433825443,5.18494329971,7.71154385813,1.0,30.7686163604
34.3333333333,97.7880733634,-49.0088993882,29.6205603626,332.10085308,5.11228235281,7.75703403481,1.0,30.9526414459
34.5555555556,98.3700091581,-49.7434203375,29.7412579154,333.045701318,5.27951528047,7.78166804878,1.0,31.1619144698
