time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,10,5.6114286,0,25.0968399592
1.0,-119.780642682,161.044327222,16.6895362975,13.9856536784,12.8433259371,4.78995011658,0.0,25.0968258555
2.0,-112.84657368,149.962704014,20.1803771947,27.5159772531,6.96581051548,5.65496513289,0.0,22.6534921865
3.0,-105.529778122,141.41174209,17.7860929633,39.0219341468,9.77231895444,5.06677294357,0.0,22.6534842858
4.0,-97.431133324,131.068412787,17.7793720972,52.1586214687,9.56440462354,5.06509050945,0.0,22.4418509862
5.0,-88.212839508,123.860966915,17.7690265207,63.8600882107,9.36951409151,5.06250035869,0.0,22.2434299005
6.0,-80.1080803575,113.634831834,16.771034949,76.9466059587,10.1030503613,4.81068495988,0.0,21.9734624007
7.0,-70.3800603215,106.562499408,16.7702608343,88.9737527677,9.87416403622,4.81048813145,0.0,21.7396347086
8.0,-61.0783090904,97.7844309516,15.7229383872,101.806287439,10.5785016719,4.54206050843,0.0,21.4265417319
9.0,-51.2528054846,92.4712342283,16.7404925283,113.022614688,9.16646700684,4.80291739726,0.0,21.0230673186
10.0,-43.349591039,84.390162892,17.5785803393,124.356938827,7.91848523318,5.0147453646,0.0,20.7744217455
10.1111111111,-42.5514289195,83.8027138429,17.8702549142,125.390008627,7.3880350301,5.08782634046,0.0,20.6522662091
11.1111111111,-35.2326955172,78.0979808475,17.8272648206,134.669539074,7.32340211677,5.07707566186,0.0,20.5608131674
12.1111111111,-27.031030423,74.6696471626,15.3273143948,143.903743658,10.1331653318,4.43955339475,0.0,20.5608026537
13.1111111111,-16.2158974334,68.6164935877,11.9756538758,156.742801179,12.9784602869,3.54672865767,0.0,20.5607930919
13.2222222222,-14.9220205539,68.4295265439,12.4575046454,158.136090172,12.1799046394,3.6777720398,0.0,20.0186706506
14.2222222222,-3.36054561336,67.9626216188,12.4994474836,169.707065162,11.8109255219,3.68913606514,0.0,19.609435337
14.3333333333,-2.38910475811,68.2399875457,12.9375058225,170.808211974,11.0853512857,3.80741541189,0.0,19.2007582755
15.3333333333,2.01201936291,70.3243734612,17.2348210337,177.302938773,5.86840816255,4.92818982764,2.5,18.9900817045
16.3333333333,6.47913887771,68.27552934,19.7330164499,182.81600501,5.14616135625,5.54675637349,2.5,21.082811389
17.3333333333,12.5951731467,64.3846485875,19.9085610886,190.066911445,8.38824556655,5.58931026407,2.5,23.4948334476
17.4444444444,13.3227852893,64.2839741115,19.8598647652,190.803067754,8.74628458773,5.57751775762,2.5,23.7588196118
17.5555555556,13.8224391468,64.38419409,20.4604975507,191.590759169,8.18060020734,5.72232544015,2.5,23.8714159886
18.5555555556,21.2606734344,64.063758025,19.4887522316,199.0990411,11.3142317844,5.48734489579,2.5,26.0133108896
19.5555555556,32.399574357,62.3619603431,20.0540720269,210.381364246,12.5214075841,5.62449290109,2.5,28.0451855787
20.5555555556,44.7951821553,56.3417036135,21.8198859877,224.274264689,12.0897152204,6.04488633615,2.5,29.2694891534
21.5555555556,52.745265483,46.5707559246,27.5828781583,238.126604651,6.50400318971,7.33260425273,2.5,29.7389463282
21.6666666667,53.3990701777,45.7394024835,28.0989908472,239.303456991,6.02584902881,7.44163133497,2.5,29.9496970918
22.6666666667,60.2585650814,39.1999059212,28.785976409,248.805542804,8.2970455476,7.58514894814,2.5,32.2946902122
23.6666666667,68.9118303586,29.9088373695,29.8656502498,261.547938591,9.47174746257,7.80699692429,2.5,34.4382292506
24.2222222222,73.040739673,26.0986144555,32.8113771287,267.891675473,6.6982961035,8.3892377184,2.5,35.0981850131
24.3333333333,73.7033653385,25.0386843529,33.3348210506,269.246857429,6.21355141341,8.4891715203,2.5,35.3026202946
25.3333333333,78.6913578048,13.3834144396,35.8421706183,282.17017695,5.39463587283,8.95310031168,2.5,37.3254578864
26.3333333333,84.3316694078,1.00579889093,35.9250154202,295.772579124,8.64683694954,8.96801197756,2.5,39.7358099784
27.3333333333,91.1118854497,-9.82653089752,39.710886051,309.100876639,5.63819892572,9.62099451213,2.5,41.33113514
28.3333333333,97.5928815195,-18.6875494383,40.4988637071,320.107323315,7.8833034109,9.74990174385,2.5,43.6663699593
28.4444444444,98.2992653556,-19.4112374163,41.0669902928,321.267267379,7.35427512072,9.84134613761,2.5,43.8236346634
29.4444444444,105.745034228,-28.3275165384,40.955039418,332.884153385,7.91305905266,9.82342599367,0.0,44.1465023931
30.4444444444,114.51169751,-39.8547774749,37.3612662436,347.805525153,11.5380285641,9.22229128779,0.0,44.1464906649
30.5555555556,115.668469433,-40.7352420898,37.7890808125,349.320901187,10.8285542465,9.29648382816,0.0,43.7655123655
30.6666666667,116.736215789,-42.0124780254,38.1902504605,351.033312061,10.1592483859,9.36540942501,0.0,43.4507156882
30.7777777778,117.754511966,-42.9260404761,38.5662657562,352.452082993,9.5255785098,9.42944544472,0.0,43.1909673845
31.7777777778,127.921566527,-54.3918728981,35.4019085632,368.099685622,12.3620708546,8.87340781139,0.0,43.1909399503
32.7777777778,135.249907751,-68.290613032,38.7474108412,384.16430351,6.6723666698,9.46009866243,0.0,41.0165483017
33.7777777778,141.504323474,-79.9979386684,38.6957784099,397.437654839,6.64916895062,9.45137445816,0.0,40.9491651445
34.7777777778,148.128492623,-89.4217732627,38.6438771188,408.956811454,6.62732728702,9.44259438532,0.0,40.882483998
58.5498174034,300,-120,10,566.501898333,24.6153272584,3.0,0.0,40.882483998
