time,x,y,z,d,V,Wv,E
0,-130,170,20,0,10,0,25.0968399592
1.0,-120.104202531,165.385513856,15.5964740423,11.7733313375,13.6527263774,0.0,25.0968276374
2.0,-106.128533851,163.615484931,13.8165521517,25.9726425669,14.8767870559,0.0,25.096816836
3.0,-93.1811096227,155.456336102,11.8472615465,41.4026655493,16.1231539346,0.0,25.0968075608
4.0,-87.4458974143,146.55084368,17.1292109933,53.2390266591,8.22963231336,0.0,20.581140046
5.0,-81.2430675044,139.648840885,13.4139122635,63.2348350868,11.8583661009,0.0,20.5811317631
6.0,-70.4918765366,133.668196541,11.8991427231,75.6304286891,13.0514533231,0.0,20.5811220221
7.0,-57.3258293008,130.732074412,10.2097246106,89.2252713337,14.2648746831,0.0,20.5811134855
7.0,-57.3258293008,130.732074412,10.2097246106,89.2252713337,14.2648746831,0.0,20.5811134855
7.0,-57.3258293008,130.732074412,10.2097246106,89.2252713337,14.2648746831,0.0,20.5811134855
7.0,-57.3258293008,130.732074412,10.2097246106,89.2252713337,14.2648746831,0.0,20.5811134855
7.0,-57.3258293008,130.732074412,10.2097246106,89.2252713337,14.2648746831,0.0,20.5811134855
8.0,-48.1705647783,132.74973856,14.8335996306,99.6785032403,7.17878517532,0.0,17.4602538912
9.0,-40.0374976712,130.936006778,10.6296061291,109.01177517,11.5765799144,0.0,17.4602484591
10.0,-28.2969083983,133.523432405,9.15512846902,121.124177583,12.7650418579,0.0,17.460240275
11.0,-20.138951699,131.704150067,13.2385664731,130.426677874,6.27815365436,0.0,15.247496815
12.0,-12.8305947264,131.936268709,11.0456532588,138.060473068,9.07965279137,0.0,15.2474929536
12.0,-12.8305947264,131.936268709,11.0456532588,138.060473068,9.07965279137,0.0,15.2474929536
13.0,-3.662811841,132.227444046,10.7679276295,147.237082335,9.37489676883,0.0,15.2474734718
13.0,-3.662811841,132.227444046,10.7679276295,147.237082335,9.37489676883,0.0,15.2474734718
14.0,6.16323179485,132.539526216,9.59556773355,157.137736684,10.5304491867,2.0,15.2474719167
14.0,6.16323179485,132.539526216,9.59556773355,157.137736684,10.5304491867,2.0,15.2474719167
14.0,6.16323179485,132.539526216,9.59556773355,157.137736684,10.5304491867,2.0,15.2474719167
14.0,6.16323179485,132.539526216,9.59556773355,157.137736684,10.5304491867,2.0,15.2474719167
14.0,6.16323179485,132.539526216,9.59556773355,157.137736684,10.5304491867,2.0,15.2474719167
14.0,6.16323179485,132.539526216,9.59556773355,157.137736684,10.5304491867,2.0,15.2474719167
