time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-125.259464247,161.026661407,18.884475893,10.2096953315,4.76190836119,5.33937280285,0.0,20.0402236627
2.75,-123.213604136,158.321059608,19.6088061145,13.6781934157,1.39471231489,5.51657412714,0.0,19.7079509892
4.75,-119.168473872,151.233330414,19.1265555909,21.8532499627,3.13866790437,5.39882238923,0.0,19.6286573348
6.75,-116.060912589,143.000364377,19.4986917878,30.6610392564,1.05981995814,5.48976698218,0.0,19.5559404292
8.75,-109.918384571,131.079407133,16.5538983697,44.3909948401,7.67463779292,4.75538396662,0.0,19.5559404315
10.75,-103.666565898,114.103041556,17.6257200487,62.5136609422,4.4408600637,5.02657892355,0.0,18.6308799929
12.75,-95.9347870797,98.3583573449,14.7938400215,80.281469729,8.39247970178,4.3003659434,0.0,18.3837337801
14.75,-84.7662929103,85.4296071993,16.0187878326,97.4100522588,4.70190718733,4.61831834639,0.0,17.145593704
16.75,-75.5813680184,77.1659151758,15.7173085582,109.768949495,4.83516882796,4.54060607212,0.0,16.9088915141
18.75,-63.1388048843,71.490690996,12.7175309684,123.769814197,8.77438751961,3.74811360034,0.0,16.6415817504
20.75,-48.1553709833,70.505179986,12.5907175057,138.786158795,7.34090829132,3.71384121429,0.0,15.3373502551
21.0,-46.7983818764,70.8388131389,12.7475277551,140.192330893,6.87113111502,3.75621134098,0.0,15.1538704054
23.0,-36.8083831821,67.9650345486,13.6512295285,150.626666243,4.06487998471,3.99852953653,0.0,14.4933931009
25.0,-30.4961053837,66.7123564806,13.3281240578,157.070147483,4.43447891488,3.91225664592,0.0,14.3303974139
27.0,-23.1450316952,65.1471888709,13.0176130306,164.59241118,4.66611102953,3.82896436988,0.0,14.127327207
29.0,-11.2581360682,61.78566445,10.0703871433,177.292185765,8.66141427453,3.01973899584,0.0,13.8940414366
31.0,1.83414801451,64.5498614381,9.93766791388,190.673751513,7.27511929767,2.9825038489,0.0,12.6352907883
33.0,6.51673072576,64.751167564,12.4744754369,196.003150862,2.01242003646,3.68237094269,1.0,12.6808890151
35.0,14.7885380794,64.0024518205,10.0978819376,204.642107328,9.30989682571,3.02744426093,1.0,14.5155261224
37.0,19.99738265,58.8935897884,14.0016083233,212.91686489,0.478203974279,4.0916262546,1.0,14.013263728
39.0,25.3966151188,51.6594125193,14.2540370245,221.947299667,5.47297610973,4.15840169644,1.0,15.7807173251
41.0,38.7818282268,45.598970258,13.5589040912,236.657027746,8.17596430099,3.97391897516,1.0,16.9659577228
43.0,44.1681694905,37.0863335322,17.0097895267,247.305326508,0.356628739285,4.8712802172,1.0,17.0162718946
45.0,49.3098376628,26.1378389927,16.2939017903,259.42220645,7.08628507286,4.68892624318,1.0,18.8533022049
47.0,56.9213212274,7.17664672948,17.0557534179,279.868279716,7.19894123801,4.88292030108,1.0,19.6971782369
49.0,60.3925838936,-15.6462458428,15.7729100154,302.989261033,9.23678950334,4.55496501382,1.0,20.1214462198
51.0,58.5428225673,-36.283768236,18.0442313893,323.833633133,4.34534772312,5.13125989087,1.0,19.0066190975
53.0,54.1638999002,-51.7649995013,19.0928140302,339.956381372,5.24428653248,5.39054984254,1.0,20.4945745416
55.0,53.6808976506,-62.6983875912,21.9397157726,351.264657803,0.449204603105,6.0729756266,1.0,21.9500004196
55.75,53.7419914361,-65.795465508,22.6596147496,354.44489028,0.877670518017,6.24055259355,1.0,22.6988759901
56.25,53.8236289706,-67.81716657,23.1878049365,356.536044207,0.451921389367,6.36222309915,1.0,23.1982143627
57.5,54.0462996171,-73.6167917953,24.2561562048,362.437451615,1.83284998278,6.60500778166,1.0,24.4273763403
59.5,56.7753107952,-85.6826144484,25.443650205,374.864909936,3.77908448891,6.86966332644,1.0,26.1715543627
60.5,58.0942304746,-90.6359426582,27.0145527739,380.226135948,0.222509485522,7.21135000353,1.0,27.0170762434
62.5,63.3606052636,-100.26963383,26.9587134854,391.205472314,5.91551912786,7.1993687778,1.0,28.7422693749
64.5,75.5291962015,-107.73795131,27.8622623951,405.511651819,6.3240749607,7.39175173694,1.0,29.9006887003
100.159601148,300,-120,10,631.025642547,6.3240749607,3.0,0.0,12.0384263052
