time,x,y,z,d,V,Wv,E
0,-130,170,75,0,10,0,80.0968399592
0.757575757576,-126.217301951,164.203161989,76.2161713527,7.02788789196,8.56369364281,0.0,79.9616011468
1.91919191919,-118.452378856,156.689146908,74.2911718898,18.0033184637,10.322509227,0.0,79.7349665087
2.77777777778,-109.886473176,152.899298766,71.7966209175,27.6966395464,12.237920357,0.0,79.4299896568
3.58585858586,-100.849347494,148.14843622,68.1269590988,38.5459138716,14.5839154551,0.0,78.9674580795
4.24242424242,-94.0748797224,143.503355736,71.1507736514,47.2988357117,12.0886897023,0.0,78.6205506037
4.94949494949,-89.1885578835,136.245034342,69.6316704353,56.1795476849,13.0184756583,0.0,78.2698309076
5.65656565657,-85.0707792678,127.787483784,67.1494988111,65.9082391769,14.4801643035,0.0,77.8363060617
6.46464646465,-77.863844865,118.361705713,65.5473999634,77.8812052438,15.132662887,0.0,77.2018521115
7.12121212121,-73.0140139567,110.420551946,67.2291203946,87.3369424757,13.672856532,0.0,76.7575100859
7.82828282828,-68.7437290898,101.550118776,64.6375239137,97.5171335242,15.1013825221,0.0,76.2609568433
8.43434343434,-64.3382567579,94.9632475471,67.5560632752,105.961831924,12.7744498766,0.0,75.8734215651
9.19191919192,-57.5801529862,87.7848948846,66.2048500176,115.913037419,13.4827363256,0.0,75.4886425078
9.94949494949,-50.8110545443,81.785663409,68.6589256194,125.285014749,11.2684088759,0.0,75.1480350478
10.9090909091,-45.4761184204,72.928317079,69.3963231498,135.651204144,10.3406099412,0.0,74.8583685929
12.2727272727,-37.9449699102,64.6656471939,72.3705515849,147.219952836,6.67533184604,0.0,74.6491830599
13.4343434343,-29.8227819272,60.0847232918,68.9308459404,157.159086417,10.4180357921,0.0,74.4758250293
14.3434343434,-20.607233072,56.4425912275,67.1967879566,167.218829146,11.6989727875,0.0,74.1726271147
15.3535353535,-12.2292198253,52.2567360977,70.6174122815,177.189443967,8.07021525633,0.0,73.9433408909
17.1212121212,-2.80018291114,45.9072536379,72.5049508503,188.7127016,5.07142200663,0.0,73.8190581691
18.6363636364,6.149242802,41.0353569166,69.6341846808,199.298961405,8.91530710267,0.0,73.6935119473
19.595959596,12.5955354055,34.2027021272,66.2180233656,209.294461289,11.8916529769,0.0,73.4450931941
20.303030303,17.5952416434,27.1865757204,64.7205599172,218.038916046,12.830570287,0.0,73.1111579747
20.9595959596,23.9272143068,21.4053723883,63.2359179159,226.740660219,13.6640430984,0.0,72.7520276914
21.7676767677,32.7289073319,15.9606877309,64.7298513795,237.197534911,12.2190884931,0.0,72.3519169143
22.6767676768,41.6501311704,14.6771850451,68.02926799,246.79554324,8.91763988102,0.0,72.0911579615
23.7373737374,51.1229862463,11.8880344249,66.9756929254,256.726523297,9.80697425987,0.0,71.877742736
24.7474747475,59.971005482,6.25592694171,65.1320080813,267.375807447,11.2637830711,0.0,71.6152960175
25.6565656566,67.7980729932,-1.18330560236,61.2439597889,278.852831721,13.951224668,0.0,71.1959769888
26.2626262626,74.9825058475,-5.79599763015,60.0755307142,287.470153212,14.4753355425,0.0,70.7463016403
26.9191919192,83.2039339137,-9.18077259064,61.6775715668,296.504261684,13.0462676802,0.0,70.3526531351
27.6767676768,92.5737516111,-10.1720001348,62.6963933235,305.981287245,11.9738649594,0.0,70.0140625998
28.4343434343,101.904671804,-9.33678819005,60.2169819166,315.672062836,13.5899916051,0.0,69.6302271677
29.1919191919,111.184222912,-11.5262566916,61.9314923833,325.359342498,11.9885793476,0.0,69.2569783554
30.0,121.020685694,-13.1806635852,60.2030253027,335.482615718,13.0502441001,0.0,68.8833958976
30.6565656566,128.914623073,-16.7200778836,57.0915773952,344.676244435,14.9337378292,0.0,68.4583727852
31.3636363636,138.412291317,-21.5679630189,55.6483176722,355.436852735,15.4871521386,0.0,67.859324017
32.1212121212,146.645459924,-28.0315714041,58.5094113968,366.288081051,13.1680450684,0.0,67.3471999246
32.9292929293,156.100632114,-30.6134040164,60.2692672843,376.246154837,11.4835766114,0.0,66.9905991798
33.9898989899,165.465195785,-32.420554452,63.7485409373,386.398306855,7.69138779449,0.0,66.7692841072
34.9494949495,173.584711557,-31.3706405651,61.5316256489,394.880262345,9.97749778804,0.0,66.6171208284
35.8585858586,183.239519362,-31.9261498755,58.9525602169,404.889032642,12.0215109585,0.0,66.3183464414
36.6161616162,192.635171014,-32.2824185714,56.464599494,414.615036236,13.6352097342,0.0,65.9405905488
37.3737373737,201.205581668,-30.8714851591,59.6573983294,423.869042735,10.8088894285,0.0,65.6121430122
38.4343434343,209.233583615,-32.4215289838,63.4648876029,432.888378946,6.23764784341,0.0,65.4510062174
39.6464646465,218.195149302,-31.2784733408,60.9772960089,442.25877636,9.22168839955,0.0,65.3207369396
40.7070707071,227.189977708,-28.2721376369,61.2901565091,451.747868736,8.68332017509,0.0,65.1433500236
42.0707070707,236.227055263,-23.9683177503,63.0002831378,461.902481945,6.25981879408,0.0,65.0004638602
43.3333333333,245.221897508,-22.8618417767,61.3246902613,471.118722371,8.35180043363,0.0,64.886669691
44.3939393939,254.526836748,-19.2298708514,57.6827739868,481.750592442,11.6684245805,0.0,64.6222302656
45.4545454545,263.120482172,-14.6989020734,61.2300394493,492.09290901,7.86470672889,0.0,64.3885839343
46.5656565657,272.629214614,-13.8174765567,59.5139144128,501.795382341,9.5960174961,0.0,64.2176141423
47.9292929293,281.883905883,-9.43382076128,62.2188262229,512.386996785,5.9926440531,0.0,64.0518257909
49.1919191919,288.558322266,-2.62026961559,58.677103993,522.561283473,10.1073788068,0.0,63.8959404275
