time,x,y,z,d,V,Wv,E
0,-130,170,75,0,10,0.0319021803651,80.0968399592
1.31313131313,-117.50386527,161.572374252,68.2861878041,16.5001070644,15.1011853863,0.0628865887808,79.9098156151
2.22222222222,-115.856197814,147.472822054,64.828331573,31.110683711,17.0563399035,0.124785764867,79.6186959108
3.23232323232,-99.6246079335,142.339651892,65.2730018746,48.1404129402,16.6022988389,0.155568489261,79.3350983231
4.0404040404,-85.9620746489,141.430216107,61.9837958102,62.2226984698,18.3021014267,0.194544506593,79.0266011799
4.84848484848,-74.4005615224,132.066315811,57.0901116034,77.8847340856,20.5874908777,0.284208971106,78.6641478715
5.55555555556,-63.9416410923,122.576746658,50.9910853682,93.2678111605,23.0793715981,0.258090221931,78.1433898553
6.16161616162,-62.8406939958,108.976414017,52.5079095365,106.996681763,22.1644276366,0.167011337381,77.5226960646
6.76767676768,-53.4406886202,99.5311701522,52.8180839941,120.325933089,21.7881955696,0.163873999043,76.9867771873
7.47474747475,-39.2514534613,95.0072226184,46.3265825951,136.572166071,24.2357972519,0.151941173993,76.2649237575
8.18181818182,-43.023842929,79.7732590868,51.0452810472,152.960292329,21.9428632205,0.264997530774,75.5557651559
8.88888888889,-54.5576343272,89.8662362247,45.9550005015,169.109827541,23.8320413961,0.21314755356,74.8631205684
9.49494949495,-43.8583742756,80.6490090845,41.2481155519,183.995599531,25.4092620491,0.231882080664,74.1202845552
10.202020202,-50.1412849863,65.4239572456,46.2384154651,201.205488076,23.0708791196,0.291428287366,73.3264355715
10.9090909091,-36.2523063613,58.068785236,39.4814775767,218.312752385,25.4691967753,0.25467475186,72.5426789941
11.5151515152,-21.5542317554,62.303890818,39.9135597017,233.614916003,24.9851489811,0.238125577308,71.6951412177
12.1212121212,-9.46992467637,71.2033794706,40.310217503,248.62786752,24.5176279517,0.20382799606,70.916246297
12.8282828283,4.5426458969,78.6762218866,45.0390482273,265.197639633,22.2139341029,0.182122329924,70.1489834935
13.4343434343,16.1133501118,85.4436723651,41.7500908147,278.999698279,23.3546206222,0.112732385593,69.5242343039
14.0404040404,24.8944331299,74.7322153366,36.9923030589,293.644809237,24.9476896615,0.0201116132609,68.6900874282
14.7474747475,11.4124848126,65.8130221879,41.7197868723,310.487138057,22.6273872759,0.0790297426195,67.7919418969
