time,x,y,z,d,V,Wv,E
0,-130,170,100,0,10,0,105.096839959
1.0,-120.197142152,165.428852314,94.9930656541,11.9189263237,13.7927870872,0.0,104.689343719
2.0,-110.523061868,154.87144626,89.8976064386,27.1179511782,16.5502570605,0.0,103.858412186
3.0,-95.2671875618,147.757515239,83.9670977924,44.9650979593,19.0776194778,0.0,102.51733046
4.0,-78.7026015608,138.193947052,77.2850379786,65.2258301572,21.3688967342,0.0,100.558725422
5.0,-66.4499403374,120.695333349,73.8334170993,86.8647505391,21.8558264089,0.0,98.1798568554
6.0,-55.5402807824,101.799248706,70.3185275974,108.965364436,22.2915980379,0.0,95.6455073671
7.0,-38.0619052836,88.3876194801,62.6997564868,132.276543768,24.2476174557,0.0,92.6664716896
8.0,-27.0765180766,67.2848869977,54.5212768577,157.433880259,25.9804583796,0.0,88.9241421795
9.0,-26.0719761528,44.2770942917,61.113040177,181.388399109,21.9521398592,0.0,85.674530717
10.0,-17.0532017279,24.9362701228,51.5813590425,204.760577376,24.6961629856,0.0,82.6670097159
10.0,-17.0532017279,24.9362701228,51.5813590425,204.760577376,24.6961629856,0.0,82.6670097159
10.0101010101,-16.9686355668,24.7321093498,51.6964443664,205.009731321,24.6362406477,0.0,82.6314266933
11.0101010101,-0.239234806138,8.00270858915,53.1209019564,228.711519841,22.7501928927,0.0,79.5006816025
12.0101010101,19.9766274105,-0.370975716063,54.3989188633,250.63030177,21.0695039529,1.0,77.0250145218
12.0101010101,19.9766274105,-0.370975716063,54.3989188633,250.63030177,21.0695039529,1.0,77.0250145218
13.0101010101,38.8015802575,-9.14919539301,47.5981348692,272.486345632,23.1686198442,1.0,74.9572044658
14.0101010101,50.1558825523,-22.6807259443,58.4342013261,293.209348212,17.2979390438,1.0,73.6848993467
15.0101010101,63.9732829579,-30.6582057879,61.959546124,309.549139966,14.9672192902,1.0,73.3773673922
16.0101010101,79.1907117717,-32.6616182981,57.8221059865,325.445750054,17.2882842824,1.0,73.0557845506
17.0101010101,95.1326145006,-39.2649706185,51.390650482,343.860747865,20.1509808765,1.0,72.0869823009
18.0101010101,113.565002399,-46.8999156731,44.8693660931,364.850565866,22.357575839,0.0,70.3464913426
18.0101010101,113.565002399,-46.8999156731,44.8693660931,364.850565866,22.357575839,0.0,70.3464913426
18.0101010101,113.565002399,-46.8999156731,44.8693660931,364.850565866,22.357575839,0.0,70.3464913426
18.0101010101,113.565002399,-46.8999156731,44.8693660931,364.850565866,22.357575839,0.0,70.3464913426
18.0101010101,113.565002399,-46.8999156731,44.8693660931,364.850565866,22.357575839,0.0,70.3464913426
19.0101010101,97.6874418713,-57.0150372998,52.0063360476,384.983845628,17.9386511392,1.0,68.4077226273
19.0101010101,97.6874418713,-57.0150372998,52.0063360476,384.983845628,17.9386511392,1.0,68.4077226273
19.0101010101,97.6874418713,-57.0150372998,52.0063360476,384.983845628,17.9386511392,1.0,68.4077226273
20.0101010101,84.8666496955,-45.2669457535,53.476253377,402.435235944,16.7884331313,1.0,67.8417725923
20.0101010101,84.8666496955,-45.2669457535,53.476253377,402.435235944,16.7884331313,1.0,67.8417725923
20.0101010101,84.8666496955,-45.2669457535,53.476253377,402.435235944,16.7884331313,1.0,67.8417725923
21.0101010101,79.0371732109,-29.2505907451,49.6382921899,419.906251081,18.5295649742,1.0,67.1380260396
21.0101010101,79.0371732109,-29.2505907451,49.6382921899,419.906251081,18.5295649742,1.0,67.1380260396
22.0101010101,87.8923209182,-13.9130250076,51.8954165594,437.759799022,16.9234134846,1.0,66.4928642644
23.0101010101,101.765207966,-4.19912491963,45.580612017,455.834466554,19.8393283891,0.0,65.6417206271
24.0101010101,121.112199162,0.0899997665809,38.6746549194,476.820054521,22.0546847615,0.0,63.4661493093
25.0101010101,142.412489257,-4.63216086025,31.124271647,499.907051872,24.0367399624,0.0,60.5720223105
26.0101010101,162.90169625,-1.01936085413,38.029562944,521.828342321,19.8322893115,0.0,58.0764385472
27.0101010101,178.796661451,9.10684877236,39.8995466234,540.767372896,18.0353380435,0.0,56.4782121863
28.0101010101,191.461945124,21.772132445,31.8163794928,560.418235775,21.1823498968,0.0,54.6854899489
28.0101010101,191.461945124,21.772132445,31.8163794928,560.418235775,21.1823498968,0.0,54.6854899489
29.0101010101,212.412419676,19.9392034262,24.5185246389,582.678979209,23.2584997369,0.0,52.0902784622
29.0101010101,212.412419676,19.9392034262,24.5185246389,582.678979209,23.2584997369,0.0,52.0902784622
30.0101010101,230.240994013,17.5920270862,34.1988381305,603.101412192,17.6368205184,0.0,50.0529379266
30.0101010101,230.240994013,17.5920270862,34.1988381305,603.101412192,17.6368205184,0.0,50.0529379266
30.1919191919,232.96401615,17.1118848144,35.6446864757,606.221646734,16.686950834,0.0,49.8370579403
30.1919191919,232.96401615,17.1118848144,35.6446864757,606.221646734,16.686950834,0.0,49.8370579403
31.1919191919,245.247312514,9.28656199619,39.6669145574,621.331026785,13.5455390373,0.0,49.0186794814
32.1919191919,251.510131206,-0.544094176327,42.8386903715,633.410963066,10.6308660966,0.0,48.6017602896
33.1919191919,255.863594056,-11.0542832329,37.5852176993,645.941553153,14.381390196,0.0,48.126725547
33.1919191919,255.863594056,-11.0542832329,37.5852176993,645.941553153,14.381390196,0.0,48.126725547
33.1919191919,255.863594056,-11.0542832329,37.5852176993,645.941553153,14.381390196,0.0,48.126725547
33.1919191919,255.863594056,-11.0542832329,37.5852176993,645.941553153,14.381390196,0.0,48.126725547
34.1919191919,248.516127517,-23.7804685855,30.8835650357,662.092503793,17.8517250875,0.0,47.1263830072
34.1919191919,248.516127517,-23.7804685855,30.8835650357,662.092503793,17.8517250875,0.0,47.1263830072
35.1919191919,238.978959694,-38.7508233643,22.8691313307,681.568135745,21.0161927072,0.0,45.3808722026
36.1919191919,235.324093825,-59.4785977231,17.5538150045,703.276458159,22.3339564655,0.0,42.9771387252
36.6161616162,237.040274188,-67.2197870831,21.7432304647,712.244316858,19.9523536524,0.0,42.0335676855
36.6161616162,237.040274188,-67.2197870831,21.7432304647,712.244316858,19.9523536524,0.0,42.0335676855
36.6161616162,237.040274188,-67.2197870831,21.7432304647,712.244316858,19.9523536524,0.0,42.0335676855
36.6161616162,237.040274188,-67.2197870831,21.7432304647,712.244316858,19.9523536524,0.0,42.0335676855
37.5858585859,227.498943482,-78.5907022301,29.667160173,729.070586942,14.7912257772,0.0,40.818044984
38.5858585859,222.97135433,-92.9503804531,22.8091007291,745.615447218,18.2278177699,0.0,39.7435217615
39.5858585859,224.547162868,-110.961954469,14.6539748146,765.449913426,21.356388366,0.0,37.9004235423
39.5858585859,224.547162868,-110.961954469,14.6539748146,765.449913426,21.356388366,0.0,37.9004235423
