time,x,y,z,d,V,Wy,Wz,E
71.75,97.6571864689,0.556463601646,9.51390379398,335.181420635,4.02309522978,2.86315621561,0.0,10.3388423887
73.75,104.429049653,-0.789392861483,9.18896363837,342.093370194,4.40902366362,2.7711683958,0.0,10.1797633156
75.75,111.161694682,-5.02752518351,9.59919790784,350.059458746,2.87844362003,2.88723427881,0,10.021493406
77.75,116.359293087,-7.44456989222,9.23135182702,355.80336378,3.71948990386,2.78319140414,0,9.93647951024
79.75,127.989940547,-8.33464909682,4.98602215275,368.216543284,9.8553525236,1.54437769123,0,9.93647951077
81.75,144.511964101,-7.14329184618,4.91957332889,384.781597158,7.95518064088,1.52443085639,0,8.14510335076
83.75,160.04039821,-11.7007627851,2.9929917273,401.079281776,7.45745685509,0.938642955478,0,5.8275311129
85.75,173.646121199,-13.4339680958,2.80026681245,414.796309208,6.5616387713,0.879250321582,0,4.99471652525
87.75,185.152529069,-10.4804509201,1.10402856111,426.796222124,6.6939719361,0.350290156792,0,3.38788484455
89.75,194.034229474,-8.78971757364,1.97217143728,435.87899997,3.94746910254,0.622411237072,0,2.76638715162
91.75,199.488901429,-6.63976034477,1.64390362201,441.751267162,4.36243187897,0.519859369294,0,2.61387364742
93.75,202.864605803,-2.14692270582,1.33120712456,447.379654957,4.62012216959,0.421782627173,0,2.4191545691
95.75,204.995303962,3.4206729692,1.02799144709,453.348736628,4.78038237336,0.326316691888,0,2.19272415023
97.75,204.383413048,5.19999343866,1.83332358858,455.395429492,1.36155968347,0.579085843416,0,1.92781108968
98.0,204.434837509,4.94536529109,1.90986323082,455.666239916,0.535278806137,0.60297815912,0,1.92446686998
