time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
1.25,-128.88323759,169.593531724,19.9501235869,1.18947988523,1.39207894482,5.59936792505,0,20.0488944222
3.25,-126.72525684,167.782770873,19.7709670548,4.0122148778,2.26965683128,5.55596614959,0,20.033522719
5.25,-124.838072487,164.514071691,19.7860255879,7.78661362229,2.11548962248,5.55961897309,0,20.0141242802
7.25,-124.187591783,160.999186577,19.771667737,11.3612113144,2.1059875335,5.5561361371,0,19.9977219414
9.25,-122.380268331,157.929097482,19.7554637936,14.9238125654,2.10579146995,5.55220452561,0,19.9814759095
11.25,-120.407594628,154.962843675,19.7392217122,18.4861667024,2.105787926,5.54826263672,0,19.9652330674
13.25,-118.926109819,148.850996922,18.6896411543,24.8619872233,4.49998884088,5.2913601782,0,19.7217461272
15.25,-119.715466107,141.785401887,19.1146152733,31.9842284116,2.95117271927,5.39589544194,0,19.5585204935
17.0,-119.040428369,139.000542278,19.4609528826,34.8705874897,1.00047136001,5.48056866929,0,19.5119693424
19.0,-118.48197781,135.373906862,18.8935343997,38.5835802455,3.32422486514,5.34160147901,0,19.456759219
21.0,-116.604458763,128.636737028,18.54591739,45.5861064129,3.98219483831,5.25584816251,0,19.3541679369
23.0,-114.61143222,120.798174544,18.2217731247,53.6805666251,4.37976974577,5.17546226309,0,19.1994684879
25.0,-111.489783181,109.801568298,15.4727610308,65.4375691827,8.17492197361,4.47730965833,0,18.8789460091
27.0,-112.396245929,97.3151112869,16.6503766672,78.0121491753,4.6782671777,4.77997796452,0,17.7658804279
29.0,-110.972371973,92.2992427365,17.4243198223,83.2833295332,1.31993349938,4.97596073182,0,17.5131182139
31.0,-108.642855906,89.0749690514,16.9309602896,87.2915697365,3.17855037508,4.85129806611,0,17.4459033317
33.0,-103.053812659,85.2834798905,16.5777725044,94.0545229441,3.89723623602,4.76147326693,0,17.3519035075
35.0,-94.6888996112,81.4612033119,15.3028527289,103.33929483,5.34767699487,4.43319535439,0,16.7604291429
37.0,-88.6955406853,75.5596839962,15.8931706956,111.771184106,3.37655892885,4.58598095319,0,16.4742690748
39.0,-85.3966214466,74.0522706294,16.3372934845,115.42527883,1.08166469814,4.70003585439,0,16.3969264366
40.25,-84.1642252286,73.8918122473,16.2989782502,116.668667501,1.37166477503,4.69022635126,0,16.3948734721
42.25,-81.4293801908,74.5022105471,16.1139164054,119.476907404,2.2810194007,4.64276632499,0,16.3791075118
