time,x,y,z,d,V,Wv,E
0,-130,170,100,0,10,0,105.096839959
1.0,-120.197142152,165.428852314,94.9930656541,11.9189263237,13.7927870872,0.0,104.713833744
2.0,-109.338298988,156.31720102,88.5166915555,27.5035368619,17.3105014003,0.0,103.838172462
3.0,-99.2869087262,141.962328053,82.3587226264,46.0780733411,19.7693958492,0.0,102.333324431
4.0,-83.3692567813,130.81666817,73.6301410161,67.3803153494,22.745209158,0.0,100.053964905
5.0,-73.316199174,113.404261623,79.318750439,88.2756771838,19.0627923397,0.0,97.8898574452
6.0,-58.6742495441,101.118207089,72.6410583394,108.522291636,21.3555256385,0.0,95.9545988382
7.0,-40.185246959,90.4435764692,69.1911970489,130.148490987,21.8438485974,0.0,93.5603611793
8.0,-27.7835359224,72.7320975722,67.612711011,151.827756185,21.4753692787,0.0,91.1659008271
9.0,-12.6076905596,57.5562522093,64.1472487245,173.567627247,21.951189023,0.0,88.7817976245
10.0,-3.34734678123,37.6973808904,58.6348873112,196.162203263,23.1698249025,0.0,86.0557076325
11.0,12.952598684,21.3974354252,54.951395576,219.506250806,23.4630746817,1.0,83.1021615808
11.3434343434,19.7327104601,18.2358173808,51.9088078862,227.582331799,24.3407362791,1.0,82.163088262
11.8383838384,30.9674514265,17.2529049086,47.38334245,239.734095413,25.5056702141,1.0,80.6097483455
12.8383838384,54.6116222287,23.5883413807,38.05391919,265.929948263,27.4860428091,1.0,76.605097001
13.8383838384,76.2607877053,38.7472502434,39.9815336075,292.428902603,25.3485896863,1.0,72.7970791461
14.8383838384,87.7772109178,55.1944070992,51.0777665874,315.369333257,19.6296191386,1.0,70.7473673951
15.8383838384,92.8547906904,74.1441927897,49.2378211205,335.073687937,19.9170025544,1.0,69.4824219764
16.6666666667,91.4591702124,90.096207847,43.0906191347,352.226024022,22.1631822751,1.0,68.1671513965
17.6666666667,82.9295697311,108.387995108,48.2630605921,373.061035811,19.0262518808,1.0,66.7316463593
18.6666666667,69.8871535087,121.430411331,49.7588844074,391.566352093,17.8141514478,1.0,65.9517443503
18.9191919192,66.0966540331,123.197950265,48.0962366645,396.067071777,18.609731112,1.0,65.7647019692
19.9191919192,47.7469346652,124.803342688,41.2076347799,415.732836996,21.3251917767,1.0,64.4230435509
20.9191919192,27.248007139,128.417856687,33.3376679872,437.986086612,23.7843421392,1.0,62.2250392996
21.9191919192,4.05143609111,132.508038022,28.8770208187,461.959152017,24.4604481519,1.0,59.4312479794
